INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(468, credit card, 188, 57.0, 0.0),
(469, cash, 859, 5.25, 0.0),
(469, debit, 859, 5.25, 0.0),
(470, cash, 933, 109.0, 0.0),
(471, cash, 174, 34.50, 0.0),
(471, debit, 174, 34.50, 0.0),
(472, debit, 805, 13.30, 2.00),
(472, cash, 805, 13.30, 2.00),
(472, debit, 805, 13.30, 2.00),
(472, debit, 805, 13.30, 2.00),
(472, credit, 805, 13.30, 2.00),
(473, debit, 726, 61.5, 0.0),
(474, debit, 635, 99.5, 0.0),
(475, credit card, 203, 66.0, 0.0),
(476, debit, 143, 21.0, 0.0),
(477, cash, 659, 42.00, 0.0),
(477, debit, 659, 42.00, 0.0),
(478, cash, 506, 76.0, 0.0),
(479, credit, 589, 6.75, 0.0),
(479, credit, 589, 6.75, 0.0),
(480, cash, 828, 104.5, 0.0),
(481, debit, 111, 4.75, 0.0),
(481, cash, 111, 4.75, 0.0),
(482, credit, 70, 14.5, 0.0),
(483, debit, 605, 11.00, 0.0),
(483, debit, 605, 11.00, 0.0),
(484, debit, 651, 131.5, 0.0),
(485, credit card, 186, 14.5, 0.0),
(486, cash, 329, 25.0, 0.0),
(487, debit, 236, 8.60, 2.00),
(487, credit, 236, 8.60, 2.00),
(487, cash, 236, 8.60, 2.00),
(487, debit, 236, 8.60, 2.00),
(487, cash, 236, 8.60, 2.00),
(488, credit card, 192, 49.5, 0.0),
(489, credit card, 95, 130.5, 0.0),
(490, credit, 534, 26.50, 0.0),
(490, debit, 534, 26.50, 0.0),
(491, cash, 78, 14.0, 0.0),
(492, debit, 374, 63.0, 0.0),
(493, cash, 103, 87.5, 0.0),
(494, debit, 297, 47.00, 0.0),
(494, debit, 297, 47.00, 0.0),
(495, debit, 437, 98.5, 0.0),
(496, cash, 793, 57.0, 0.0),
(497, credit, 177, 57.0, 0.0),
(498, debit, 440, 36.67, 3.33),
(498, cash, 440, 36.67, 3.33),
(498, cash, 440, 36.67, 3.33),
(499, credit card, 506, 53.5, 0.0),
(500, credit, 412, 11.50, 0.0),
(500, debit, 412, 11.50, 0.0),
(501, debit, 341, 5.75, 0.0),
(501, cash, 341, 5.75, 0.0),
(502, credit card, 760, 49.0, 0.0),
(503, cash, 33, 12.5, 0.0),
(504, credit card, 358, 63.5, 0.0),
(505, cash, 402, 110.5, 0.0),
(506, cash, 590, 23.0, 0.0),
(507, credit card, 379, 38.5, 0.0),
(508, debit, 499, 39.5, 0.0),
(509, credit card, 229, 99.5, 0.0),
(510, cash, 758, 16.0, 0.0),
(511, debit, 101, 14.5, 0.0),
(512, debit, 543, 29.5, 0.0),
(513, debit, 833, 88.0, 0.0),
(514, credit card, 148, 13.5, 0.0),
(515, credit card, 259, 44.5, 0.0),
(516, credit, 648, 36.25, 0.0),
(516, debit, 648, 36.25, 0.0),
(517, cash, 652, 68.0, 0.0),
(518, cash, 445, 54.5, 0.0),
(519, credit card, 641, 70.5, 0.0),
(520, credit, 481, 10.70, 2.00),
(520, credit, 481, 10.70, 2.00),
(520, credit, 481, 10.70, 2.00),
(520, credit, 481, 10.70, 2.00),
(520, cash, 481, 10.70, 2.00),
(521, credit, 490, 10.5, 0.0),
(522, cash, 257, 9.5, 0.0),
(523, cash, 716, 66.5, 0.0),
(524, debit, 841, 50.25, 0.0),
(524, cash, 841, 50.25, 0.0),
(525, debit, 708, 10.5, 0.0),
(526, cash, 994, 111.0, 0.0),
(527, cash, 765, 46.25, 0.0),
(527, debit, 765, 46.25, 0.0),
(528, debit, 833, 27.0, 0.0),
(529, credit, 993, 12.5, 0.0),
(530, cash, 271, 14.5, 0.0),
(531, debit, 119, 12.5, 0.0),
(532, cash, 910, 54.50, 0.0),
(532, cash, 910, 54.50, 0.0),
(533, debit, 924, 99.0, 0.0),
(534, cash, 715, 103.5, 0.0),
(535, credit, 547, 37.5, 0.0),
(536, credit card, 516, 54.0, 0.0),
(537, debit, 399, 65.0, 0.0),
(538, debit, 17, 8.75, 0.0),
(538, cash, 17, 8.75, 0.0),
(539, debit, 317, 53.0, 0.0),
(540, debit, 909, 14.5, 0.0),
(541, debit, 909, 74.0, 0.0),
(542, credit card, 180, 85.0, 0.0),
(543, cash, 936, 29.50, 0.0),
(543, debit, 936, 29.50, 0.0),
(544, cash, 700, 51.75, 0.0),
(544, debit, 700, 51.75, 0.0),
(545, credit, 872, 41.0, 0.0),
(546, debit, 286, 70.5, 0.0),
(547, credit card, 12, 12.5, 0.0),
(548, debit, 195, 9.5, 0.0),
(549, credit card, 891, 67.0, 0.0),
(550, cash, 64, 78.0, 0.0),
(551, debit, 718, 10.00, 2.00),
(551, debit, 718, 10.00, 2.00),
(551, cash, 718, 10.00, 2.00),
(551, debit, 718, 10.00, 2.00),
(551, debit, 718, 10.00, 2.00),
(552, credit card, 966, 11.5, 0.0),
(553, cash, 764, 31.25, 0.0),
(553, credit, 764, 31.25, 0.0),
(554, debit, 847, 116.5, 0.0),
(555, cash, 487, 16.00, 3.33),
(555, debit, 487, 16.00, 3.33),
(555, cash, 487, 16.00, 3.33),
(556, cash, 323, 8.75, 0.0),
(556, cash, 323, 8.75, 0.0),
(557, credit card, 785, 87.0, 0.0),
(558, cash, 8, 48.75, 0.0),
(558, cash, 8, 48.75, 0.0),
(559, debit, 220, 39.5, 0.0),
(560, cash, 988, 33.75, 0.0),
(560, debit, 988, 33.75, 0.0),
(561, debit, 224, 30.0, 0.0),
(562, credit, 743, 69.5, 0.0),
(563, cash, 245, 83.0, 0.0),
(564, debit, 645, 14.5, 0.0),
(565, debit, 441, 7.25, 0.0),
(565, debit, 441, 7.25, 0.0),
(566, cash, 539, 40.50, 0.0),
(566, credit, 539, 40.50, 0.0),
(567, credit, 630, 12.5, 0.0),
(568, cash, 126, 82.0, 0.0),
(569, cash, 953, 93.5, 0.0),
(570, credit, 904, 4.38, 2.50),
(570, debit, 904, 4.38, 2.50),
(570, cash, 904, 4.38, 2.50),
(570, credit, 904, 4.38, 2.50),
(571, cash, 209, 41.00, 0.0),
(571, debit, 209, 41.00, 0.0),
(572, credit card, 609, 83.0, 0.0),
(573, debit, 372, 14.50, 0.0),
(573, debit, 372, 14.50, 0.0),
(574, cash, 345, 9.5, 0.0),
(575, debit, 670, 88.5, 0.0),
(576, cash, 927, 29.5, 0.0),
(577, debit, 446, 80.5, 0.0),
(578, cash, 869, 106.0, 0.0),
(579, debit, 143, 79.5, 0.0),
(580, cash, 868, 10.5, 0.0),
(581, cash, 635, 99.5, 0.0),
(582, debit, 394, 30.00, 0.0),
(582, cash, 394, 30.00, 0.0),
(583, debit, 400, 9.5, 0.0),
(584, debit, 396, 11.5, 0.0),
(585, debit, 327, 99.0, 0.0),
(586, cash, 123, 35.25, 0.0),
(586, debit, 123, 35.25, 0.0),
(587, debit, 759, 14.00, 3.33),
(587, debit, 759, 14.00, 3.33),
(587, credit, 759, 14.00, 3.33),
(588, cash, 102, 74.5, 0.0),
(589, debit, 390, 129.5, 0.0),
(590, cash, 229, 10.20, 2.00),
(590, debit, 229, 10.20, 2.00),
(590, debit, 229, 10.20, 2.00),
(590, cash, 229, 10.20, 2.00),
(590, cash, 229, 10.20, 2.00),
(591, debit, 806, 104.0, 0.0),
(592, credit card, 422, 12.5, 0.0),
(593, cash, 54, 93.5, 0.0),
(594, debit, 181, 14.0, 0.0),
(595, credit, 521, 12.5, 0.0),
(596, credit, 65, 33.5, 0.0),
(597, cash, 605, 13.5, 0.0),
(598, credit, 287, 13.5, 0.0),
(599, debit, 675, 31.50, 3.33),
(599, cash, 675, 31.50, 3.33),
(599, debit, 675, 31.50, 3.33),
(600, debit, 133, 47.25, 0.0),
(600, cash, 133, 47.25, 0.0),
(601, credit card, 913, 116.0, 0.0),
(602, credit, 115, 46.5, 0.0),
(603, debit, 104, 71.75, 0.0),
(603, debit, 104, 71.75, 0.0),
(604, debit, 160, 53.00, 0.0),
(604, cash, 160, 53.00, 0.0),
(605, credit card, 553, 13.5, 0.0),
(606, debit, 639, 58.0, 0.0),
(607, debit, 741, 62.5, 0.0),
(608, credit card, 403, 62.0, 0.0),
(609, credit, 445, 55.0, 0.0),
(610, credit card, 75, 81.0, 0.0),
(611, credit card, 506, 81.0, 0.0),
(612, credit, 598, 41.75, 0.0),
(612, debit, 598, 41.75, 0.0),
(613, credit, 82, 33.00, 3.33),
(613, credit, 82, 33.00, 3.33),
(613, debit, 82, 33.00, 3.33),
(614, credit, 165, 87.0, 0.0),
(615, debit, 942, 5.25, 0.0),
(615, cash, 942, 5.25, 0.0),
(616, cash, 60, 87.0, 0.0),
(617, cash, 927, 30.5, 0.0),
(618, cash, 560, 14.5, 0.0),
(619, debit, 194, 36.75, 0.0),
(619, debit, 194, 36.75, 0.0),
(620, debit, 274, 112.5, 0.0),
(621, cash, 194, 3.63, 2.50),
(621, cash, 194, 3.63, 2.50),
(621, debit, 194, 3.63, 2.50),
(621, debit, 194, 3.63, 2.50),
(622, debit, 486, 6.25, 0.0),
(622, debit, 486, 6.25, 0.0),
(623, debit, 449, 11.00, 0.0),
(623, credit, 449, 11.00, 0.0),
(624, cash, 933, 35.75, 0.0),
(624, cash, 933, 35.75, 0.0),
(625, cash, 467, 87.0, 0.0),
(626, cash, 668, 14.5, 0.0),
(627, cash, 555, 61.0, 0.0),
(628, credit card, 64, 96.5, 0.0),
(629, credit, 317, 90.5, 0.0),
(630, debit, 926, 10.5, 0.0),
(631, cash, 586, 95.5, 0.0),
(632, debit, 48, 50.25, 0.0),
(632, debit, 48, 50.25, 0.0),
(633, debit, 64, 13.5, 0.0),
(634, cash, 752, 75.0, 0.0),
(635, credit card, 143, 95.5, 0.0),
(636, cash, 50, 17.5, 0.0),
(637, cash, 176, 20.0, 0.0),
(638, credit, 203, 20.0, 0.0),
(639, cash, 806, 30.00, 0.0),
(639, credit, 806, 30.00, 0.0),
(640, debit, 165, 20.0, 0.0),
(641, cash, 54, 20.0, 0.0),
(642, cash, 915, 40.00, 0.0),
(642, credit, 915, 40.00, 0.0),
(643, credit, 880, 40.00, 0.0),
(643, cash, 880, 40.00, 0.0),
(644, cash, 391, 30.00, 0.0),
(644, debit, 391, 30.00, 0.0),
(645, debit, 29, 50.00, 0.0),
(645, cash, 29, 50.00, 0.0),
(646, credit, 768, 20.0, 0.0),
(647, credit card, 248, 13.5, 0.0),
(648, credit, 992, 81.0, 0.0),
(649, cash, 176, 38.25, 0.0),
(649, cash, 176, 38.25, 0.0),
(650, cash, 607, 13.5, 0.0),
(651, credit, 658, 101.0, 0.0),
(652, cash, 251, 80.0, 0.0),
(653, credit, 856, 110.5, 0.0),
(654, cash, 586, 7.25, 0.0),
(654, credit, 586, 7.25, 0.0),
(655, cash, 782, 109.5, 0.0),
(656, cash, 460, 90.5, 0.0),
(657, debit, 89, 24.0, 0.0),
(658, debit, 363, 11.5, 0.0),
(659, debit, 384, 84.0, 0.0),
(660, debit, 580, 3.83, 3.33),
(660, debit, 580, 3.83, 3.33),
(660, cash, 580, 3.83, 3.33),
(661, credit card, 112, 47.0, 0.0),
(662, credit, 388, 33.25, 0.0),
(662, cash, 388, 33.25, 0.0),
(663, credit, 898, 16.83, 3.33),
(663, debit, 898, 16.83, 3.33),
(663, credit, 898, 16.83, 3.33),
(664, credit, 507, 31.50, 0.0),
(664, credit, 507, 31.50, 0.0),
(665, cash, 355, 5.75, 0.0),
(665, cash, 355, 5.75, 0.0),
(666, debit, 453, 32.5, 0.0),
(667, cash, 962, 18.0, 0.0),
(668, credit card, 749, 13.5, 0.0),
(669, cash, 604, 75.0, 0.0),
(670, cash, 906, 30.5, 0.0),
(671, debit, 694, 9.50, 0.0),
(671, cash, 694, 9.50, 0.0),
(672, credit, 483, 114.5, 0.0),
(673, cash, 597, 46.75, 0.0),
(673, debit, 597, 46.75, 0.0),
(674, debit, 757, 14.5, 0.0),
(675, cash, 537, 13.5, 0.0),
(676, cash, 851, 23.0, 0.0),
(677, debit, 460, 104.0, 0.0),
(678, credit, 341, 12.50, 0.0),
(678, debit, 341, 12.50, 0.0),
(679, credit card, 866, 107.0, 0.0),
(680, cash, 796, 57.5, 0.0),
(681, cash, 41, 47.5, 0.0),
(682, debit, 417, 41.00, 0.0),
(682, cash, 417, 41.00, 0.0),
(683, debit, 400, 63.0, 0.0),
(684, debit, 315, 96.5, 0.0),
(685, cash, 921, 84.0, 0.0),
(686, debit, 239, 87.5, 0.0),
(687, credit, 24, 36.75, 0.0),
(687, cash, 24, 36.75, 0.0),
(688, credit card, 63, 10.5, 0.0),
(689, cash, 659, 10.00, 0.0),
(689, credit, 659, 10.00, 0.0),
(690, credit card, 782, 12.5, 0.0),
(691, debit, 561, 13.75, 0.0),
(691, cash, 561, 13.75, 0.0),
(692, credit card, 16, 97.5, 0.0),
(693, debit, 701, 43.50, 0.0),
(693, cash, 701, 43.50, 0.0),
(694, credit card, 748, 62.5, 0.0),
(695, cash, 819, 25.25, 0.0),
(695, credit, 819, 25.25, 0.0),
(696, debit, 219, 21.0, 0.0),
(697, debit, 415, 87.0, 0.0),
(698, credit, 424, 18.25, 2.50),
(698, cash, 424, 18.25, 2.50),
(698, debit, 424, 18.25, 2.50),
(698, debit, 424, 18.25, 2.50),
(699, debit, 717, 76.0, 0.0),
(700, credit, 415, 7.25, 0.0),
(700, cash, 415, 7.25, 0.0),
(701, credit card, 593, 13.5, 0.0),
(702, credit card, 465, 53.0, 0.0),
(703, debit, 600, 58.0, 0.0),
(704, cash, 487, 28.5, 0.0),
(705, credit, 378, 71.0, 0.0),
(706, cash, 170, 30.50, 0.0),
(706, debit, 170, 30.50, 0.0),
(707, credit card, 517, 53.5, 0.0),
(708, cash, 776, 43.0, 0.0),
(709, credit card, 348, 39.5, 0.0),
(710, debit, 942, 73.5, 0.0),
(711, debit, 905, 43.00, 0.0),
(711, debit, 905, 43.00, 0.0),
(712, credit card, 486, 66.5, 0.0),
(713, cash, 347, 91.5, 0.0),
(714, cash, 346, 151.5, 0.0),
(715, credit, 152, 7.0, 0.0),
(716, debit, 366, 114.5, 0.0),
(717, credit, 508, 81.0, 0.0),
(718, cash, 697, 64.5, 0.0),
(719, cash, 736, 29.0, 0.0),
(720, debit, 76, 20.83, 3.33),
(720, debit, 76, 20.83, 3.33),
(720, cash, 76, 20.83, 3.33),
(721, credit card, 348, 13.5, 0.0),
(722, credit, 605, 38.33, 3.33),
(722, debit, 605, 38.33, 3.33),
(722, debit, 605, 38.33, 3.33),
(723, credit, 746, 18.75, 2.50),
(723, cash, 746, 18.75, 2.50),
(723, cash, 746, 18.75, 2.50),
(723, cash, 746, 18.75, 2.50),
(724, credit card, 105, 87.0, 0.0),
(725, debit, 378, 119.5, 0.0),
(726, cash, 441, 9.5, 0.0),
(727, credit card, 254, 90.0, 0.0),
(728, credit card, 61, 114.5, 0.0),
(729, credit card, 213, 59.5, 0.0),
(730, credit, 981, 25.83, 3.33),
(730, credit, 981, 25.83, 3.33),
(730, cash, 981, 25.83, 3.33),
(731, cash, 319, 93.5, 0.0),
(732, debit, 371, 70.0, 0.0),
(733, cash, 263, 30.00, 0.0),
(733, cash, 263, 30.00, 0.0),
(734, credit card, 423, 11.5, 0.0),
(735, cash, 875, 29.5, 0.0),
(736, debit, 801, 66.0, 0.0),
(737, cash, 805, 65.5, 0.0),
(738, credit card, 906, 62.5, 0.0),
(739, debit, 123, 3.13, 2.50),
(739, credit, 123, 3.13, 2.50),
(739, debit, 123, 3.13, 2.50),
(739, debit, 123, 3.13, 2.50),
(740, credit, 391, 23.17, 3.33),
(740, cash, 391, 23.17, 3.33),
(740, cash, 391, 23.17, 3.33),
(741, credit, 326, 13.5, 0.0),
(742, debit, 172, 22.50, 3.33),
(742, debit, 172, 22.50, 3.33),
(742, cash, 172, 22.50, 3.33),
(743, cash, 717, 11.50, 0.0),
(743, debit, 717, 11.50, 0.0),
(744, debit, 371, 29.50, 0.0),
(744, cash, 371, 29.50, 0.0),
(745, credit card, 630, 81.0, 0.0),
(746, debit, 675, 7.25, 0.0),
(746, debit, 675, 7.25, 0.0),
(747, credit, 794, 56.0, 0.0),
(748, credit, 416, 81.0, 0.0),
(749, debit, 54, 75.0, 0.0),
(750, cash, 939, 42.5, 0.0),
(751, cash, 265, 75.0, 0.0),
(752, credit, 638, 27.0, 0.0),
(753, debit, 305, 12.5, 0.0),
(754, credit, 510, 143.5, 0.0),
(755, debit, 744, 63.0, 0.0),
(756, cash, 322, 46.0, 0.0),
(757, debit, 538, 72.5, 0.0),
(758, debit, 779, 58.0, 0.0),
(759, cash, 54, 12.5, 0.0),
(760, debit, 612, 10.5, 0.0),
(761, cash, 259, 4.75, 0.0),
(761, cash, 259, 4.75, 0.0),
(762, cash, 682, 23.0, 0.0),
(763, debit, 778, 86.0, 0.0),
(764, cash, 763, 10.5, 0.0),
(765, cash, 40, 42.00, 0.0),
(765, cash, 40, 42.00, 0.0),
(766, cash, 840, 24.00, 0.0),
(766, debit, 840, 24.00, 0.0),
(767, cash, 754, 59.75, 0.0),
(767, credit, 754, 59.75, 0.0),
(768, credit, 828, 14.5, 0.0),
(769, cash, 224, 108.0, 0.0),
(770, credit, 764, 75.0, 0.0),
(771, cash, 852, 92.5, 0.0),
(772, credit card, 6, 27.5, 0.0),
(773, cash, 810, 13.5, 0.0),
(774, cash, 4, 102.5, 0.0),
(775, debit, 775, 19.00, 2.50),
(775, cash, 775, 19.00, 2.50),
(775, debit, 775, 19.00, 2.50),
(775, credit, 775, 19.00, 2.50),
(776, cash, 268, 113.5, 0.0),
(777, cash, 884, 92.5, 0.0),
(778, debit, 672, 112.5, 0.0),
(779, cash, 466, 7.25, 2.50),
(779, cash, 466, 7.25, 2.50),
(779, cash, 466, 7.25, 2.50),
(779, credit, 466, 7.25, 2.50),
(780, credit card, 507, 69.5, 0.0),
(781, cash, 969, 12.50, 0.0),
(781, debit, 969, 12.50, 0.0),
(782, cash, 451, 6.75, 2.50),
(782, cash, 451, 6.75, 2.50),
(782, debit, 451, 6.75, 2.50),
(782, cash, 451, 6.75, 2.50),
(783, cash, 867, 11.40, 2.00),
(783, debit, 867, 11.40, 2.00),
(783, credit, 867, 11.40, 2.00),
(783, debit, 867, 11.40, 2.00),
(783, debit, 867, 11.40, 2.00),
(784, cash, 676, 4.75, 0.0),
(784, debit, 676, 4.75, 0.0),
(785, cash, 680, 9.5, 0.0),
(786, cash, 201, 82.5, 0.0),
(787, credit card, 165, 10.5, 0.0),
(788, cash, 686, 38.0, 0.0),
(789, credit card, 51, 10.5, 0.0),
(790, credit card, 457, 85.5, 0.0),
(791, cash, 990, 58.0, 0.0),
(792, credit card, 355, 69.0, 0.0),
(793, debit, 299, 12.5, 0.0),
(794, cash, 84, 66.5, 0.0),
(795, cash, 688, 12.5, 0.0),
(796, credit, 448, 29.0, 0.0),
(797, credit, 670, 10.5, 0.0),
(798, cash, 22, 50.25, 0.0),
(798, debit, 22, 50.25, 0.0),
(799, debit, 729, 35.33, 3.33),
(799, debit, 729, 35.33, 3.33),
(799, credit, 729, 35.33, 3.33),
(800, debit, 647, 35.5, 0.0),
(801, credit card, 882, 24.0, 0.0),
(802, cash, 329, 25.00, 0.0),
(802, debit, 329, 25.00, 0.0),
(803, credit card, 196, 27.0, 0.0),
(804, credit, 874, 39.5, 0.0),
(805, debit, 465, 17.10, 2.00),
(805, debit, 465, 17.10, 2.00),
(805, debit, 465, 17.10, 2.00),
(805, cash, 465, 17.10, 2.00),
(805, debit, 465, 17.10, 2.00),
(806, debit, 140, 82.0, 0.0),
(807, credit, 697, 65.25, 0.0),
(807, credit, 697, 65.25, 0.0),
(808, cash, 684, 59.25, 0.0),
(808, debit, 684, 59.25, 0.0),
(809, credit, 412, 16.75, 0.0),
(809, debit, 412, 16.75, 0.0),
(810, debit, 808, 66.5, 0.0),
(811, debit, 448, 96.0, 0.0),
(812, debit, 144, 10.00, 0.0),
(812, credit, 144, 10.00, 0.0),
(813, credit, 474, 20.0, 0.0),
(814, debit, 367, 10.00, 0.0),
(814, debit, 367, 10.00, 0.0),
(815, cash, 634, 60.0, 0.0),
(816, cash, 656, 60.0, 0.0),
(817, credit, 799, 100.0, 0.0),
(818, credit, 410, 60.0, 0.0),
(819, credit, 879, 100.0, 0.0),
(820, debit, 806, 20.0, 0.0),
(821, debit, 110, 10.00, 0.0),
(821, credit, 110, 10.00, 0.0),
(822, debit, 917, 43.00, 0.0),
(822, debit, 917, 43.00, 0.0),
(823, credit card, 227, 79.0, 0.0),
(824, cash, 812, 96.0, 0.0),
(825, credit, 984, 50.5, 0.0),
(826, cash, 753, 6.25, 2.50),
(826, credit, 753, 6.25, 2.50),
(826, cash, 753, 6.25, 2.50),
(826, cash, 753, 6.25, 2.50),
(827, debit, 870, 35.75, 0.0),
(827, debit, 870, 35.75, 0.0),
(828, cash, 932, 13.5, 0.0),
(829, cash, 169, 44.75, 0.0),
(829, debit, 169, 44.75, 0.0),
(830, cash, 561, 66.0, 0.0),
(831, cash, 344, 75.0, 0.0),
(832, credit card, 710, 25.0, 0.0),
(833, debit, 152, 106.5, 0.0),
(834, credit, 643, 54.75, 0.0),
(834, credit, 643, 54.75, 0.0),
(835, cash, 68, 10.5, 0.0),
(836, debit, 331, 48.25, 0.0),
(836, debit, 331, 48.25, 0.0),
(837, cash, 934, 13.5, 0.0),
(838, debit, 682, 36.00, 0.0),
(838, cash, 682, 36.00, 0.0),
(839, cash, 772, 53.5, 0.0),
(840, cash, 173, 1.90, 2.00),
(840, cash, 173, 1.90, 2.00),
(840, cash, 173, 1.90, 2.00),
(840, cash, 173, 1.90, 2.00),
(840, cash, 173, 1.90, 2.00),
(841, credit, 395, 63.0, 0.0),
(842, debit, 984, 11.50, 0.0),
(842, cash, 984, 11.50, 0.0),
(843, credit, 891, 73.5, 0.0),
(844, credit card, 302, 35.5, 0.0),
(845, cash, 976, 39.75, 0.0),
(845, cash, 976, 39.75, 0.0),
(846, debit, 459, 59.5, 0.0),
(847, credit card, 522, 11.5, 0.0),
(848, credit, 205, 113.5, 0.0),
(849, cash, 427, 113.5, 0.0),
(850, cash, 186, 43.50, 0.0),
(850, credit, 186, 43.50, 0.0),
(851, cash, 821, 6.25, 0.0),
(851, debit, 821, 6.25, 0.0),
(852, debit, 475, 13.5, 0.0),
(853, debit, 400, 39.5, 0.0),
(854, debit, 130, 12.5, 0.0),
(855, credit card, 730, 19.5, 0.0),
(856, credit, 77, 13.5, 0.0),
(857, cash, 894, 50.5, 0.0),
(858, cash, 946, 5.33, 3.33),
(858, debit, 946, 5.33, 3.33),
(858, debit, 946, 5.33, 3.33),
(859, debit, 931, 29.5, 0.0),
(860, cash, 575, 83.0, 0.0),
(861, cash, 702, 12.50, 0.0),
(861, debit, 702, 12.50, 0.0),
(862, debit, 541, 29.50, 0.0),
(862, cash, 541, 29.50, 0.0),
(863, credit card, 766, 10.5, 0.0),
(864, debit, 731, 21.0, 0.0),
(865, credit card, 545, 94.5, 0.0),
(866, debit, 831, 10.50, 0.0),
(866, debit, 831, 10.50, 0.0),
(867, debit, 445, 71.5, 0.0),
(868, debit, 73, 15.75, 0.0),
(868, cash, 73, 15.75, 0.0),
(869, debit, 84, 5.75, 0.0),
(869, cash, 84, 5.75, 0.0),
(870, debit, 75, 13.25, 0.0),
(870, debit, 75, 13.25, 0.0),
(871, credit, 210, 21.0, 0.0),
(872, cash, 284, 41.00, 0.0),
(872, debit, 284, 41.00, 0.0),
(873, debit, 341, 46.00, 0.0),
(873, credit, 341, 46.00, 0.0),
(874, cash, 272, 46.00, 0.0),
(874, credit, 272, 46.00, 0.0),
(875, cash, 692, 92.5, 0.0),
(876, cash, 657, 3.13, 2.50),
(876, cash, 657, 3.13, 2.50),
(876, cash, 657, 3.13, 2.50),
(876, debit, 657, 3.13, 2.50),
(877, cash, 625, 98.5, 0.0),
(878, credit card, 784, 30.5, 0.0),
(879, credit, 780, 107.0, 0.0),
(880, cash, 996, 13.5, 0.0),
(881, debit, 370, 46.00, 0.0),
(881, debit, 370, 46.00, 0.0),
(882, cash, 829, 55.50, 0.0),
(882, cash, 829, 55.50, 0.0),
(883, cash, 580, 14.5, 0.0),
(884, cash, 414, 95.5, 0.0),
(885, cash, 523, 12.50, 0.0),
(885, credit, 523, 12.50, 0.0),
(886, cash, 704, 29.0, 0.0),
(887, cash, 611, 13.5, 0.0),
(888, credit, 532, 74.75, 0.0),
(888, cash, 532, 74.75, 0.0),
(889, debit, 436, 13.5, 0.0),
(890, credit, 669, 12.5, 0.0),
(891, debit, 638, 98.0, 0.0),
(892, credit, 449, 89.5, 0.0),
(893, debit, 346, 87.0, 0.0),
(894, credit card, 654, 11.5, 0.0),
(895, credit card, 838, 42.0, 0.0),
(896, debit, 878, 20.33, 3.33),
(896, cash, 878, 20.33, 3.33),
(896, cash, 878, 20.33, 3.33),
(897, cash, 816, 63.0, 0.0),
(898, credit, 977, 39.50, 0.0),
(898, debit, 977, 39.50, 0.0),
(899, debit, 625, 78.5, 0.0),
(900, debit, 598, 13.63, 2.50),
(900, cash, 598, 13.63, 2.50),
(900, cash, 598, 13.63, 2.50),
(900, debit, 598, 13.63, 2.50),
(901, credit, 364, 21.0, 0.0),
(902, cash, 120, 91.0, 0.0),
(903, debit, 528, 6.25, 0.0),
(903, cash, 528, 6.25, 0.0),
(904, cash, 837, 86.0, 0.0),
(905, cash, 898, 106.0, 0.0),
(906, debit, 195, 36.00, 0.0),
(906, debit, 195, 36.00, 0.0),
(907, debit, 354, 90.5, 0.0),
(908, cash, 687, 12.5, 0.0),
(909, credit card, 860, 81.5, 0.0),
(910, cash, 203, 25.38, 2.50),
(910, cash, 203, 25.38, 2.50),
(910, credit, 203, 25.38, 2.50),
(910, cash, 203, 25.38, 2.50),
(911, credit card, 126, 111.0, 0.0),
(912, cash, 228, 9.25, 0.0),
(912, debit, 228, 9.25, 0.0),
(913, credit, 758, 36.50, 0.0),
(913, debit, 758, 36.50, 0.0),
(914, cash, 208, 11.50, 0.0),
(914, debit, 208, 11.50, 0.0),
(915, debit, 432, 15.00, 0.0),
(915, cash, 432, 15.00, 0.0),
(916, cash, 213, 113.5, 0.0),
(917, credit card, 50, 25.0, 0.0),
(918, credit, 359, 37.00, 3.33),
(918, debit, 359, 37.00, 3.33),
(918, credit, 359, 37.00, 3.33),
(919, debit, 968, 70.5, 0.0),
(920, debit, 496, 8.75, 0.0),
(920, cash, 496, 8.75, 0.0),
(921, cash, 214, 47.25, 0.0),
(921, debit, 214, 47.25, 0.0),
(922, credit, 212, 13.5, 0.0),
(923, cash, 563, 104.5, 0.0),
(924, credit card, 64, 10.5, 0.0),
(925, debit, 766, 20.00, 2.50),
(925, cash, 766, 20.00, 2.50),
(925, cash, 766, 20.00, 2.50),
(925, cash, 766, 20.00, 2.50),
(926, cash, 612, 6.90, 2.00),
(926, cash, 612, 6.90, 2.00),
(926, cash, 612, 6.90, 2.00),
(926, debit, 612, 6.90, 2.00),
(926, cash, 612, 6.90, 2.00),
(927, cash, 345, 63.0, 0.0),
(928, cash, 127, 34.50, 0.0),
(928, cash, 127, 34.50, 0.0),
(929, cash, 812, 10.5, 0.0),
(930, credit, 159, 12.80, 2.00),
(930, credit, 159, 12.80, 2.00),
(930, cash, 159, 12.80, 2.00),
(930, debit, 159, 12.80, 2.00),
(930, cash, 159, 12.80, 2.00),
(931, cash, 782, 69.0, 0.0),
(932, cash, 35, 71.0, 0.0),
(933, cash, 988, 17.0, 0.0),
(934, cash, 515, 123.0, 0.0),
(935, credit, 135, 92.5, 0.0),
(936, debit, 426, 37.50, 0.0),
(936, cash, 426, 37.50, 0.0),
(937, credit, 441, 56.0, 0.0),
(938, cash, 655, 86.5, 0.0),
(939, credit, 531, 14.5, 0.0),
